date;counter;filename;BTA;APRI;RMSE-PC;NDCG;Precision;Recall;F1;APLT;Novelty;MRM;LTC;Entropy
02-Oct-2024 13:41:40;1;AUG_YL_HPF.mat;0.0073747261513169;0.00939069931827338;0.010546724580453;0.0117055501266117;0.0074573557485067;0.00652926705984686;0.00460170557309964;0.610160724182515;0.989568323172613;0.482503606067375;0.000638343144903894;0.301773220547302
02-Oct-2024 13:41:57;2;AUG_YL_SKM.mat;0.0073747261513169;0.0161596577413451;0.0144123260645519;0.08320454250567;0.0332409631134917;0.0919411194187516;0.0337196736172596;0.268249276433281;0.961506250384893;0.551392081330888;0.00815660685154975;0.43325146729481
02-Oct-2024 13:42:13;3;BetterThanAverage_YL_HPF.mat;0.0073747261513169;0.0122339865368037;0.00886400112526802;0.0256913704836819;0.0084180060348544;0.0170962552690179;0.0071688775844063;0.676217747398255;0.987683970687856;0.389094628934434;0.00127668628980779;0.348711801104966
02-Oct-2024 13:42:33;4;BetterThanAverage_YL_SKM.mat;0.0073747261513169;0.0122977251549089;0.00891107334650102;0.0914764848423531;0.0303282221811683;0.114472273029286;0.0358631718484138;0.672473674487362;0.965114846973354;0.389772171872328;0.00858216894815235;0.462014515677524
02-Oct-2024 13:42:49;5;CalibratedPopularity_YL_HPF.mat;0.0073747261513169;0.0152722248423839;0.0126063893508479;0.0262422057009561;0.010357780651518;0.01597171131663;0.00772698999576418;0.403097481372018;0.985189974752146;0.481668548348347;0.00134761330590822;0.32984190394149
02-Oct-2024 13:43:06;6;CalibratedPopularity_YL_SKM.mat;0.0073747261513169;0.0190861723917755;0.0155378935600879;0.0782082710495584;0.0316337212882562;0.0911070372747447;0.0328700638259258;0.220961881889284;0.96340907691362;0.504686027895785;0.00929143910915668;0.437817387738721
02-Oct-2024 13:43:22;7;DiscreapancyMinimization_YL_HPF.mat;0.0073747261513169;0.00304600834808957;0.00985932460657107;0.00313427196167203;0.00197672270460003;0.00211825979268856;0.00134572113064911;0.915167190097961;0.997044152965086;0.220453529018894;0.00184410241861125;0.290391173271999
02-Oct-2024 13:43:38;8;DiscreapancyMinimization_YL_SKM.mat;0.0073747261513169;0.00304600834808957;0.00985932460657107;0.00313427196167203;0.00197672270460003;0.00211825979268856;0.00134572113064911;0.915167190097961;0.997044152965086;0.220453529018894;0.00184410241861125;0.290391173271999
02-Oct-2024 13:43:55;9;FairRecommendations_YL_HPF.mat;0.0073747261513169;0.0112319855176419;0.0105279905030216;0.0147708795293897;0.00855964037194412;0.00926497531891285;0.00556049350907801;0.29152657183324;0.98762854855595;0.572791779017411;0.000354635080502163;0.301779901151827
02-Oct-2024 13:44:12;10;FairRecommendations_YL_SKM.mat;0.0073747261513169;0.0134117418220332;0.011204079246816;0.0361389192477112;0.0177227661801836;0.0330352176472468;0.0147959102518629;0.256388940205679;0.978945747890889;0.575148739817726;0.00439747499822682;0.403197111636249
02-Oct-2024 13:44:28;11;MUL_YL_HPF.mat;0.0073747261513169;0.00592230933581272;0.00940178679155605;0.00704292741300516;0.00421824003941129;0.00371897362467439;0.0024387629051103;0.791520413818626;0.993928197549113;0.371246732670628;0.000992978225406057;0.301773220547302
02-Oct-2024 13:44:47;12;MUL_YL_SKM.mat;0.0073747261513169;0.0103006380372871;0.0112035652616195;0.0710471401392995;0.0257836073649853;0.0836807178915253;0.0282364917477011;0.512414557546653;0.970201367079268;0.417474524076408;0.0128377899141783;0.45599926556131
02-Oct-2024 13:45:08;13;Pure_YL_HPF.mat;0.0073747261513169;0.0165130103787405;0.0137139688527487;0.0286488419683993;0.0120943407845311;0.0168572654913657;0.0086650024742061;0.291520413818584;0.98289303528543;0.568730311821056;0.000283708064401731;0.301773220547302
02-Oct-2024 13:45:29;14;Pure_YL_SKM.mat;0.0073747261513169;0.0212052317330616;0.0171849784293854;0.0864793301094528;0.0367325574234861;0.094346299866517;0.0361161081578083;0.0754356795369173;0.957251062257546;0.639391813461998;0.00212781048301298;0.404296857761408
02-Oct-2024 13:45:51;15;VAR_YL_HPF.mat;0.0073747261513169;0.0116749458195006;0.012737140621652;0.0258497079863758;0.0104070447687666;0.013400906215462;0.00718353080025603;0.583040827637167;0.985947410554842;0.55619880721312;0.000567416128803461;0.301779264797812
02-Oct-2024 13:46:13;16;VAR_YL_SKM.mat;0.0073747261513169;0.0138053280353246;0.0138268718034789;0.0666630035357182;0.0270583163987928;0.0641661488168874;0.0255896042804972;0.448340415050186;0.969283822895512;0.579332240926767;0.0117029576565714;0.457479836697329
02-Oct-2024 13:46:33;17;xQuad_YL_HPF.mat;0.0073747261513169;0.0131455448678982;0.00984158048378685;0.0263333241401552;0.00940944639448247;0.0168143252440201;0.00747246184420964;0.608750538826274;0.986249153272991;0.394909279288453;0.00106390524150649;0.337731004396276
02-Oct-2024 13:46:53;18;xQuad_YL_SKM.mat;0.0073747261513169;0.014667224077154;0.011022794612617;0.092222033566491;0.0327667959849739;0.110835013120696;0.036517256845599;0.551253155982504;0.961721780897857;0.401052319819834;0.00758919072274629;0.444377744739326
